,Hotel,Category
0,AC Hotel Milano a Marriott Lifestyle Hotel,Good
1,Acca Palace,Very Good
2,ADI Doria Grand Hotel,Very Good
3,ADI Hotel Poliziano Fiera,Very Good
4,Admiral Hotel,Good
5,Andreola Central Hotel,Very Good
6,Antares Hotel Accademia,Very Good
7,Antares Hotel Rubens,Very Good
8,Antica Locanda Dei Mercanti,Good
9,Armani Hotel Milano,Good
10,Art Hotel Navigli,Very Good
11,Atahotel Contessa Jolanda,Good
12,Atahotel Linea Uno,Good
13,Baglioni Hotel Carlton The Leading Hotels of the World,Good
14,Barcel Milan,Good
15,Best Western Antares Hotel Concorde,Good
16,Best Western Atlantic Hotel,Very Good
17,Best Western Hotel Ascot,Good
18,Best Western Hotel Astoria,Very Good
19,Best Western Hotel City,Very Good
20,Best Western Hotel Major,Very Good
21,Best Western Hotel Mirage,Good
22,Best Western Hotel St George,Very Good
23,Best Western Madison Hotel,Very Good
24,Best Western Plus Hotel Felice Casati,Very Good
25,Best Western Plus Hotel Galles,Very Good
26,Bianca Maria Palace Hotel,Very Good
27,Boscolo Milano Autograph Collection,Good
28,Brunelleschi Hotel,Very Good
29,Bulgari Hotel Milano,Excellent
30,Ca Bianca Hotel Corte Del Naviglio,Good
31,Camperio House Suites Apartments,Very Good
32,Carlyle Brera Hotel,Very Good
33,Ch teau Monfort Relais Ch teaux,Very Good
34,Colombia,Very Good
35,Crowne Plaza Milan City,Very Good
36,DoubleTree By Hilton Milan,Good
37,Enterprise Hotel Design Boutique,Very Good
38,Excelsior Hotel Gallia Luxury Collection Hotel,Excellent
39,Four Points Sheraton Milan Center,Good
40,Four Seasons Hotel Milano,Very Good
41,Glam Milano,Very Good
42,Grand Hotel et de Milan,Very Good
43,Grand Visconti Palace,Very Good
44,Hilton Garden Inn Milan North,Very Good
45,Hilton Milan,Very Good
46,Holiday Inn Milan Garibaldi Station,Very Good
47,Hotel Auriga,Very Good
48,Hotel Berna,Excellent
49,Hotel Boutique Duomo,Good
50,Hotel Bristol,Good
51,Hotel Capitol Milano,Very Good
52,Hotel Carrobbio,Good
53,Hotel Cavour,Very Good
54,Hotel Clerici,Very Good
55,Hotel Crivi s,Good
56,Hotel D Este,Good
57,Hotel Da Vinci,Good
58,Hotel degli Arcimboldi,Very Good
59,Hotel Dei Cavalieri,Very Good
