,Hotel,Rating,Rank
63,Hotel Liberty,0.019624502236,0
93,Ibis Styles Milano Palmanova,0.0750762957467,1
4,Admiral Hotel,0.124679868142,2
87,Hotel Sunflower,0.129415722436,3
77,Hotel Pierre Milano,0.143670650318,4
97,IH Hotels Milano Lorenteggio,0.144409758612,5
114,Mokinba Hotels Montebianco,0.144927611595,6
49,Hotel Boutique Duomo,0.14496410121,7
113,Mokinba Hotels King,0.147891718566,8
110,Milan Marriott Hotel,0.150264027247,9
146,The Hub Hotel,0.152354271856,10
145,TH Street Duomo,0.153385568778,11
30,Ca Bianca Hotel Corte Del Naviglio,0.158246139165,12
122,Novotel Milano Nord Ca Granda,0.158527637809,13
62,Hotel La Spezia Gruppo MiniHotel,0.159048993718,14
65,Hotel Lombardia,0.160419080768,15
36,DoubleTree By Hilton Milan,0.164376023058,16
60,Hotel Dieci,0.165359311459,17
11,Atahotel Contessa Jolanda,0.167718835126,18
135,Sheraton Diana Majestic,0.168127695767,19
55,Hotel Crivi s,0.172112121638,20
80,Hotel Raffaello,0.174003212847,21
78,Hotel Portello Gruppo Minihotel,0.17420897813,22
112,Mokinba Hotels Baviera,0.178472831278,23
108,Mercure Milano Regency,0.179308683238,24
156,UNA Hotel Mediterraneo,0.181874093543,25
109,MiHotel,0.184145641775,26
107,Meli Milano,0.184296360312,27
150,TownHouse 12,0.185038730818,28
144,Style Hotel,0.185865071085,29
64,Hotel Lloyd,0.186276569549,30
71,Hotel Mentana,0.187919857525,31
88,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,0.18968398764,32
92,Hotel Wagner,0.190368949168,33
46,Holiday Inn Milan Garibaldi Station,0.191187198917,34
100,Klima Hotel Milano Fiere,0.191571298089,35
85,Hotel Silver,0.192917704912,36
51,Hotel Capitol Milano,0.193135259675,37
20,Best Western Hotel Major,0.19327841913,38
50,Hotel Bristol,0.193662169859,39
56,Hotel D Este,0.196503534885,40
98,IH Hotels Milano Puccini,0.197978170486,41
103,LHP Hotel Napoleon,0.198536778578,42
137,Sina The Gray,0.199761207686,43
0,AC Hotel Milano a Marriott Lifestyle Hotel,0.200379728849,44
90,Hotel Vittoria,0.201929034217,45
99,IH Hotels Milano Watt 13,0.20208720604,46
18,Best Western Hotel Astoria,0.20220208994,47
12,Atahotel Linea Uno,0.202549024865,48
52,Hotel Carrobbio,0.203294357779,49
73,Hotel Mercure Milano Solari,0.204940532257,50
6,Antares Hotel Accademia,0.205031532887,51
151,TownHouse 33,0.206474115666,52
27,Boscolo Milano Autograph Collection,0.206657431896,53
81,Hotel Regina,0.207059723757,54
152,TownHouse Duomo,0.212118001995,55
61,Hotel Galileo,0.212417738709,56
126,Palazzo Segreti,0.214904411404,57
3,ADI Hotel Poliziano Fiera,0.215324275271,58
15,Best Western Antares Hotel Concorde,0.215503717673,59
17,Best Western Hotel Ascot,0.216526859428,60
118,NH Milano Palazzo Moscova,0.217431380649,61
21,Best Western Hotel Mirage,0.21931410789,62
157,UNA Hotel Scandinavia,0.220515014759,63
89,Hotel Tocq,0.220601130454,64
